"record","fhcounter","host","fhlrcounter","litnum","state","country","notes","citation","taxon","author","year","current","kingdom","phylum","class","order","family","genus","species","header"
"190066",1434,"Pseudotsuga menziesii","2590","1590","Pennsylvania","United States",NA,"Longenecker, J., Kistler, B.R., and Merrill, W.. 1975. Major conifer disease occurrences and new records for Pennsylvania. Pl. Dis. Reporter 59:702-704","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2594","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2591","2117","Oregon","United States",NA,"Goheen, D.J., and Hansen, E.M.. 1978. Black stain root disease in Oregon and Washington. Pl. Dis. Reporter 62:1098-1102","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2592","2255","Oregon","United States",NA,"Goheen, D.J., and Filip, G.M.. 1980. Root pathogen complexes in Pacific Northwest forests. Pl. Dis. 64:793-794","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2593","2368","Oregon","United States",NA,"Filip, G.M., and Goheen, D.J.. 1982. Tree mortality caused by root pathogen complex in Deschutes National Forest, Oregon. Pl. Dis. 66:240-243","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2595","3628","Oregon","United States",NA,"Thies, W.G.. 1983. Determination of growth reduction in Douglas-fir infected by %Phellinus weirii%. Forest Sci. 29:305-315","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2589","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2587","1881","Washington","United States",NA,"Filip, G.M.. 1979. Root disease in Douglas-fir plantations is associated with infected stumps. Pl. Dis. Reporter 63:580-583","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2588","2255","Washington","United States",NA,"Goheen, D.J., and Filip, G.M.. 1980. Root pathogen complexes in Pacific Northwest forests. Pl. Dis. 64:793-794","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2586","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2600","44","Montana","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
